condition_snomed_id_src,condition_snomed_id_dst,relation_strength,relation_polarity
52254009,85828009,zero,positive
52254009,44054006,high,positive
52254009,703885002,high,positive
414941008,275320004,high,positive
414941008,370388006,high,positive
414941008,44054006,medium,positive
79740000,370388006,high,positive
79740000,44054006,medium,positive
79740000,27606000,high,positive
79740000,110299009,high,positive
396275006,275134007,high,positive
396275006,44054006,medium,positive
396275006,414916001,very_high,positive
239873007,414916001,very_high,positive
239873007,275134007,high,positive
239873007,106325008,high,positive
65363002,115665000,high,positive
65363002,195708003,very_high,positive
53316003,44054006,medium,positive
53316003,370388006,high,positive
11543004,439750006,high,positive
49049000,44054006,high,positive
49049000,297240003,high,positive
49049000,3734,zero,positive
20848007,423859003,high,positive
198130006,102947004,very_high,positive
198130006,312081001,high,positive
3238004,161414005,low,positive
3238004,55464009,zero,positive
3238004,275905002,medium,positive
3238004,69896004,zero,positive
840580004,77176002,very_high,positive
840580004,44054006,high,positive
840580004,414916001,high,positive
840580004,13644009,high,positive
405737000,235595009,medium,positive
405737000,77176002,high,positive
405737000,115665000,high,positive
36813001,161805006,high,positive
202882003,414916001,very_high,positive
202882003,106325008,high,positive
60046008,77176002,high,positive
60046008,161414005,very_high,positive
60046008,233604007,high,positive
233604007,44054006,high,positive
233604007,77176002,high,positive
233604007,370388006,high,positive
233604007,13645005,high,positive
233604007,195967001,high,positive
402222007,115665000,very_high,positive
402222007,52526003,very_high,positive
398254007,16356006,high,positive
398254007,38341003,very_high,positive
398254007,105651000119100,high,positive
41256004,44054006,high,positive
59282003,42343007,high,positive
59282003,8510008,high,positive
59282003,161508001,high,positive
59282003,3215,medium,positive
154283005,77176002,very_high,positive
154283005,44054006,medium,positive
154283005,370388006,very_high,positive
69896004,160413008,high,positive
69896004,414916001,high,positive
414033006,125594001,very_high,positive
128869009,423859003,medium,positive
23056005,249858009,very_high,positive
23056005,414916001,very_high,positive
83901003,300933005,high,positive
83901003,85828009,zero,positive
83901003,69896004,medium,positive
1489008,248056001,very_high,positive
1489008,285049007,high,positive
202855006,442130003,very_high,positive
202855006,106325008,high,positive
47382004,370388006,high,positive
47382004,52526003,high,positive
47382004,44054006,high,positive
47382004,414916001,medium,positive
47382004,102431007,high,positive
90176007,195708003,very_high,positive
4834000,102431007,very_high,positive
4834000,230102009,very_high,positive
64766004,429964008,medium,positive
37372002,397825006,very_high,positive
76618002,15628003,medium,positive
76618002,439053001,high,positive
68566005,161844003,high,positive
68566005,95570007,high,positive
68566005,77386006,medium,positive
68566005,439053001,very_high,positive
68566005,44054006,high,positive
126485001,418715001,very_high,positive
126485001,115665000,very_high,positive
18973006,414916001,medium,positive
18973006,28079008,very_high,positive
72934000,44054006,high,positive
72934000,77386006,medium,positive
72934000,102947004,very_high,positive
72934000,370388006,high,positive
30800001,312081001,medium,positive
30800001,76498008,medium,positive
128060009,262175005,very_high,positive
128060009,33586001,low,positive
128060009,77386006,high,positive
128060009,414916001,medium,positive
3738000,230102009,very_high,positive
3738000,102430008,very_high,positive
3738000,102947004,zero,positive
72000004,219006,high,positive
9078005,16266001,very_high,positive
44054006,248311001,very_high,positive
44054006,160303001,very_high,positive
38341003,160357008,very_high,positive
38341003,426174008,very_high,positive
38341003,248311001,high,positive
38341003,77176002,high,positive
90560007,275905002,zero,positive
90560007,219006,very_high,positive
90560007,76498008,high,positive
90560007,414916001,high,positive
17467004,36971009,very_high,positive
17467004,61582004,very_high,positive
17467004,126660000,high,positive
88348008,61582004,very_high,positive
88348008,126660000,high,positive
88348008,44054006,medium,positive
398057008,426174008,very_high,positive
35489007,361055000,very_high,positive
35489007,160329001,medium,positive
35489007,397847006,medium,positive
90979004,195708003,very_high,positive
90979004,36971009,zero,positive
90979004,271737000,zero,positive
19362000,420008001,medium,positive
73589001,77176002,very_high,positive
73589001,64859006,high,positive
73589001,249858009,very_high,positive
56317004,160409001,very_high,positive
3502005,195708003,very_high,positive
3502005,129127001,very_high,positive
3502005,110299009,high,positive
399114005,44054006,medium,positive
399114005,125594001,medium,positive
399114005,14304000,zero,positive
70020005,61582004,very_high,positive
70020005,195708003,very_high,positive
70020005,90176007,very_high,positive
70020005,102424008,high,positive
203082005,3723001,low,positive
68225006,160409001,high,positive
68225006,85828009,zero,positive
68225006,34713006,medium,positive
68225006,426174008,high,positive
385093006,370388006,high,positive
385093006,271737000,high,positive
385093006,840539006,high,positive
385093006,44054006,high,positive
190634004,4556007,medium,positive
190634004,267111003,high,positive
190634004,85828009,zero,positive
190634004,219006,very_high,positive
78737005,195967001,medium,positive
3135009,418019003,high,positive
3135009,102431007,very_high,positive
897657000,195967001,zero,positive
897657000,126660000,very_high,positive
87433001,77176002,very_high,positive
87433001,102424008,very_high,positive
2556008,880109007,very_high,positive
2556008,110483000,very_high,positive
2556008,27606000,high,positive
2556008,110299009,high,positive
84849002,414916001,low,positive
84849002,44054006,high,positive
84849002,52526003,very_high,positive
84849002,370388006,high,positive
399029005,370388006,high,positive
399029005,414916001,low,positive
399029005,44054006,high,positive
399029005,52526003,very_high,positive
6020002,44054006,high,positive
6020002,370388006,high,positive
6020002,817001000,high,positive
6020002,102431007,high,positive
5441008,44054006,high,positive
5441008,102431007,high,positive
5441008,52526003,high,positive
402134005,44054006,high,positive
402134005,125604000,high,positive
80327007,195708003,very_high,positive
1475003,370388006,high,positive
9014002,219006,medium,positive
9014002,77176002,medium,positive
9014002,426174008,medium,positive
9014002,160408009,very_high,positive
78275009,414916001,very_high,positive
78275009,40979000,medium,positive
78275009,77176002,medium,positive
56882008,433306000,zero,positive
88616000,42273000,very_high,positive
88616000,237055002,very_high,positive
88616000,426174008,very_high,positive
16607004,713651007,medium,positive
16607004,271737000,medium,positive
14077003,271737000,medium,positive
83482000,160324006,high,positive
239880009,249858009,high,positive
239880009,106325008,medium,positive
28432003,866041003,high,positive
266579006,866041003,very_high,positive
266579006,30506002,high,positive
449826002,248056001,high,positive
449826002,44054006,medium,positive
13758004,11805005,very_high,positive
419893006,400044004,high,positive
13746004,426174008,very_high,positive
13746004,160324006,high,positive
33659008,12147341000119108,high,positive
33659008,400044004,very_high,positive
19843006,400044004,very_high,positive
19843006,12147341000119108,very_high,positive
21897009,361055000,medium,positive
21897009,397847006,high,positive
61170000,110299009,high,positive
61170000,190634004,high,positive
61170000,110483000,high,positive
127013003,38341003,very_high,positive
127013003,237622006,very_high,positive
127013003,702565001,very_high,positive
127014009,237622006,high,positive
400047006,77176002,very_high,positive
400047006,38341003,high,positive
400047006,44054006,high,positive
38481006,414916001,high,positive
38481006,13644009,high,positive
38481006,44054006,high,positive
38481006,77176002,high,positive
33839006,102947004,very_high,positive
1539003,69896004,medium,positive
1539003,44054006,high,positive
14304000,13619001,high,positive
14304000,238121000,high,positive
14304000,300934004,zero,positive
14304000,85828009,zero,positive
26929004,82271004,high,positive
26929004,394877006,very_high,positive
26929004,77176002,medium,positive
271737000,69896004,medium,positive
271737000,27601005,high,positive
271737000,77386006,high,positive
271737000,35240004,very_high,positive
3723001,414916001,very_high,positive
3723001,275134007,medium,positive
3723001,418019003,very_high,positive
195967001,418715001,high,positive
195967001,77176002,medium,positive
195967001,160377001,very_high,positive
195967001,115665000,very_high,positive
50448004,418019003,very_high,positive
50448004,64859006,very_high,positive
237055002,414916001,high,positive
237055002,412783008,high,positive
61582004,418715001,very_high,positive
61582004,115665000,very_high,positive
266569009,275905002,low,positive
25093002,237622006,very_high,positive
25093002,38341003,high,positive
25093002,77176002,high,positive
25093002,13644009,high,positive
5291005,42343007,high,positive
5291005,34713006,very_high,positive
5291005,709044004,high,positive
64859006,5291005,very_high,positive
64859006,76498008,very_high,positive
64859006,34713006,very_high,positive
36971009,195967001,medium,positive
36971009,61582004,very_high,positive
36971009,126660000,very_high,positive
34713006,90708001,medium,positive
34713006,414916001,medium,positive
34713006,440381005,very_high,positive
27601005,226426002,high,positive
27601005,102430008,very_high,positive
27601005,230102009,very_high,positive
27601005,248056001,very_high,positive
840539006,1157197009,very_high,negative
126660000,125593007,medium,positive
85828009,300933005,high,positive
723881000,219006,very_high,positive
723881000,126660000,very_high,positive
723881000,414916001,very_high,positive
266474003,414916001,high,positive
266474003,13644009,very_high,positive
35240004,397825006,high,positive
422290000,418715001,very_high,positive
31681005,24700007,medium,positive
31681005,38341003,very_high,positive
400201008,42273000,very_high,positive
400201008,426174008,high,positive
47639008,236320001,very_high,positive
47639008,414916001,medium,positive
37785001,106325008,very_high,positive
13842006,95315005,medium,positive
13842006,199317008,high,positive
13842006,161805006,medium,positive
129103003,102877006,high,positive
419760006,21397001,high,positive
419760006,102947004,high,positive
67624004,189176002,high,positive
67624004,11805005,high,positive
186729003,102947004,very_high,positive
15938005,414916001,high,positive
15938005,38341003,very_high,positive
15938005,11687002,high,positive
15938005,127364007,high,positive
79883001,237055002,very_high,positive
79883001,129103003,high,positive
24700007,160337009,very_high,positive
24700007,300933005,high,positive
281623008,161414005,very_high,positive
15628003,102947004,very_high,positive
76272004,102947004,very_high,positive
266113007,370388006,medium,positive
266113007,102947004,very_high,positive
57044006,11805005,high,positive
57044006,189176002,high,positive
735476006,12745006,high,positive
735476006,198130006,high,positive
735476006,86569001,very_high,positive
65619001,86569001,very_high,positive
65619001,198130006,high,positive
65619001,12745006,high,positive
201040000,817001000,high,positive
400097005,275320004,high,positive
4598005,90708001,high,positive
4598005,414916001,medium,positive
4598005,440381005,very_high,positive
239960007,125594001,high,positive
239960007,106325008,very_high,positive
44465007,125603006,very_high,positive
44465007,414916001,medium,positive
44465007,106325008,high,positive
21007002,219006,very_high,positive
359837005,230627003,very_high,positive
359837005,44054006,high,positive
359837005,6836001,zero,positive
359837005,77176002,medium,positive
239720000,106325008,high,positive
239720000,125601008,very_high,positive
53286005,106325008,low,positive
53286005,2073,medium,positive
53286005,442130003,very_high,positive
445008009,3723001,high,positive
445008009,442130003,high,positive
445008009,125598003,very_high,positive
55260003,817001000,high,positive
415692008,125604000,high,positive
415692008,69896004,medium,positive
230631009,44054006,high,positive
230631009,230627003,medium,positive
230631009,125598003,very_high,positive
230631009,69896004,high,positive
274142002,110483000,low,positive
274142002,44054006,low,positive
37869000,77176002,high,positive
230634001,230627003,very_high,positive
230634001,44054006,low,positive
230634001,6836001,zero,positive
191983006,1012,high,positive
191983006,426174008,very_high,positive
36083008,38341003,medium,positive
35386004,129127001,high,positive
35386004,897657000,medium,positive
110030002,106325008,medium,positive
59051007,226430004,high,positive
53226007,3723001,medium,positive
53226007,414916001,medium,positive
53226007,125604000,medium,positive
40956001,161413004,very_high,positive
87284002,195967001,medium,positive
87284002,13645005,medium,positive
87284002,42343007,medium,positive
78569004,77176002,very_high,positive
78569004,38341003,very_high,positive
78569004,44054006,very_high,positive
230192003,161413004,high,positive
30292005,69896004,medium,positive
30292005,85828009,zero,positive
30292005,44054006,medium,positive
230297002,85828009,zero,positive
230297002,418019003,medium,positive
398665005,262175005,high,positive
21954000,161423008,high,positive
266257000,77176002,very_high,positive
266257000,38341003,very_high,positive
266257000,13644009,very_high,positive
266257000,44054006,very_high,positive
43891009,1475003,very_high,positive
86044005,430727006,very_high,positive
86044005,77176002,medium,positive
26843008,77386006,very_high,positive
26843008,85828009,zero,positive
27982003,90584004,very_high,positive
310701003,85828009,zero,positive
60380001,2040,high,positive
60380001,127295002,medium,positive
26039008,102947004,very_high,positive
28651003,44054006,high,positive
28651003,77386006,high,positive
28651003,8510008,high,positive
71760005,44054006,medium,positive
71760005,82271004,medium,positive
71760005,387800004,medium,positive
74351001,161413004,high,positive
128608001,38341003,very_high,positive
386584007,85828009,zero,positive
21983002,85828009,zero,positive
397827003,82271004,medium,positive
397827003,85828009,zero,positive
36976004,13619001,very_high,positive
36976004,85828009,zero,positive
48723006,44054006,medium,positive
48723006,414916001,medium,positive
237602007,414916001,high,positive
398760006,82271004,high,positive
46090001,248056001,high,positive
46090001,237622006,high,positive
444158007,106325008,high,positive
444158007,125601008,very_high,positive
69195002,249858009,very_high,positive
69195002,106325008,low,positive
69195002,414916001,medium,positive
69195002,77176002,medium,positive
68675004,414916001,medium,positive
68675004,106325008,high,positive
68675004,249858009,very_high,positive
68675004,77176002,high,positive
26538006,249858009,very_high,positive
26538006,414916001,high,positive
26538006,106325008,high,positive
26538006,77176002,high,positive
34571000,414916001,medium,positive
34571000,237055002,medium,positive
34571000,426174008,medium,positive
237662005,77386006,very_high,positive
58756001,160336000,high,positive
2576002,282752000,high,positive
2576002,248056001,high,positive
715192004,85828009,zero,positive
28670008,219006,high,positive
28670008,41309000,high,positive
21454007,82271004,very_high,positive
21454007,38341003,very_high,positive
21454007,77176002,high,positive
230745008,7180009,medium,positive
230745008,127295002,medium,positive
230456007,7180009,low,positive
230456007,21454007,low,positive
230456007,191480000,low,positive
230456007,84757009,very_high,positive
32914008,35240004,high,positive
32914008,90708001,low,positive
230722002,36971009,high,positive
230722002,127295002,high,positive
95453001,82271004,very_high,positive
52448006,160324006,high,positive
52448006,38341003,low,positive
52448006,426174008,medium,positive
721764008,34014006,high,positive
192685000,14189004,high,positive
16631009,24700007,high,positive
16631009,85828009,zero,positive
25044007,85828009,zero,positive
60404007,7180009,low,positive
398565003,418019003,medium,positive
398565003,230102009,medium,positive
73297009,160343006,high,positive
15771004,118885003,medium,positive
15771004,82271004,high,positive
15771004,126952004,medium,positive
58690002,426174008,medium,positive
58690002,78275009,high,positive
2897005,85828009,zero,positive
2897005,161413004,high,positive
34742003,42343007,high,positive
34742003,19943007,very_high,positive
66931009,66999008,high,positive
74728003,126952004,high,positive
40108008,160319008,very_high,positive
417357006,160320002,very_high,positive
124134002,2526,very_high,positive
368009,38341003,high,positive
368009,233850007,high,positive
233850007,110299009,high,positive
197321007,414916001,very_high,positive
197321007,219006,very_high,positive
53165003,219006,high,positive
53165003,190634004,very_high,positive
40070004,370388006,medium,positive
84089009,414916001,medium,positive
302914006,9216,medium,positive
302914006,248311001,high,positive
302914006,235595009,high,positive
302914006,77176002,high,positive
447330002,161414005,high,positive
447330002,248325000,high,positive
447330002,370388006,high,positive
447330002,19943007,zero,positive
447330002,44054006,low,positive
34000006,30037006,zero,positive
34000006,160386006,zero,positive
34000006,77176002,medium,positive
19133005,65021000119105,zero,positive
89155008,443720007,zero,positive
89155008,34014006,low,positive
89155008,85828009,medium,positive
408335007,300933005,medium,positive
307496006,414916001,medium,positive
307496006,40979000,medium,positive
307496006,77176002,medium,positive
82796002,161414005,medium,positive
10528009,161414005,medium,positive
418186002,219006,high,positive
418186002,248325000,medium,positive
78146007,14304000,very_high,positive
48277006,44054006,medium,positive
48277006,423859003,high,positive
48277006,370388006,medium,positive
48277006,400044004,medium,positive
240542006,2314005,very_high,positive
240542006,370388006,medium,positive
240542006,77176002,medium,positive
109385007,77176002,medium,negative
109385007,370388006,very_high,positive
44653001,219006,low,positive
44653001,370388006,medium,positive
44653001,44054006,low,positive
44653001,400044004,medium,positive
56727007,85828009,low,positive
416675009,44054006,medium,positive
416675009,370388006,zero,positive
416675009,400044004,medium,positive
399183005,439053001,low,positive
36209000,77386006,medium,positive
36209000,242535001,medium,positive
77090002,85828009,medium,positive
77090002,161633009,low,positive
37151006,85828009,medium,positive
8229003,2704,high,positive
8229003,418715001,high,positive
49420001,85828009,medium,positive
4776004,418715001,low,positive
4776004,34014006,low,positive
43116000,195967001,medium,positive
43116000,400044004,medium,positive
50563003,35489007,low,positive
50563003,370388006,zero,positive
191306005,34014006,medium,positive
191306005,40537000,low,positive
191306005,54150009,high,positive
416893007,370388006,low,positive
416893007,248056001,high,positive
416893007,414916001,low,positive
416893007,44054006,low,positive
399329002,423859003,high,positive
399329002,400044004,medium,positive
399329002,44054006,medium,positive
399329002,414916001,low,positive
399329002,52526003,high,positive
399329002,370388006,high,positive
57019003,370388006,medium,positive
34129005,12147341000119108,medium,positive
34129005,2999009,very_high,positive
370977006,284567000,very_high,positive
33528003,195708003,medium,positive
33528003,129127001,medium,positive
232377002,19491003,high,positive
82272006,418715001,high,positive
82272006,115665000,high,positive
82272006,414916001,medium,positive
82272006,195967001,medium,positive
82272006,102424008,medium,positive
28111002,19491003,medium,positive
28111002,40537000,medium,positive
18140003,102431007,medium,positive
196542004,65759007,medium,positive
196542004,110299009,high,positive
196542004,33261009,zero,positive
87614000,242535001,medium,positive
77489003,242535001,medium,positive
91514001,282752000,high,positive
91514001,285049007,low,positive
91514001,82576008,high,positive
111522004,13644009,low,positive
65636009,115665000,low,positive
65636009,401007007,low,positive
815008,55464009,low,positive
815008,156370009,low,positive
815008,161567008,low,positive
815008,64766004,low,positive
77971008,161413004,low,positive
77971008,85828009,medium,positive
4927003,34014006,low,positive
4927003,85828009,low,positive
4927003,282752000,medium,positive
444248002,85828009,low,positive
444248002,34014006,low,positive
444248002,282752000,medium,positive
111196000,85828009,low,positive
32861005,34000006,zero,positive
32861005,77386006,low,positive
32861005,310701003,low,positive
32861005,64766004,low,positive
402599005,414916001,medium,positive
402599005,6727,zero,positive
78048006,44054006,low,positive
78048006,370388006,medium,positive
78048006,77386006,low,positive
4740000,370388006,low,positive
4740000,231458000,low,positive
418470004,219006,low,positive
418470004,3738000,low,positive
418470004,77176002,low,positive
274134003,110483000,high,positive
274134003,77176002,medium,positive
274134003,370388006,medium,positive
274134003,219006,medium,positive
49882001,370388006,low,positive
196491008,248325000,low,positive
196491008,44054006,low,positive
196491008,110299009,low,positive
51523009,87433001,zero,positive
51523009,32398004,zero,positive
89927005,15111000119100,medium,positive
89927005,3123,high,positive
89927005,24700007,low,positive
89927005,49049000,zero,positive
267103008,897657000,low,positive
267103008,85828009,low,positive
267103008,14304000,low,positive
267103008,235595009,low,positive
267103008,77176002,low,positive
79962008,235595009,rare,positive
79962008,38341003,rare,positive
79962008,35489007,rare,positive
399882002,195708003,rare,positive
399882002,418019003,rare,positive
399882002,38804009,zero,positive
212372004,12147341000119108,low,positive
212372004,307136000,high,positive
212372004,418019003,high,positive
23697004,418019003,high,positive
111245009,307136000,medium,positive
111245009,12147341000119108,medium,positive
111245009,418019003,high,positive
302941001,271737000,medium,positive
302941001,110483000,low,positive
302941001,34713006,high,positive
302941001,40930008,medium,positive
302941001,248325000,high,positive
397758007,219006,medium,positive
397758007,231458000,medium,positive
397758007,418019003,medium,positive
128200000,161413004,rare,positive
128200000,418019003,high,positive
128200000,44054006,rare,positive
128200000,8510008,rare,positive
44551007,4032,low,positive
417109008,4133,high,positive
417109008,6124,high,positive
63375009,418019003,low,positive
63375009,370388006,low,positive
63375009,400044004,low,positive
35984006,248325000,low,positive
35984006,161414005,low,positive
200635001,400044004,low,positive
274152003,106325008,low,positive
274152003,418019003,rare,positive
240008008,371081002,low,positive
240008008,125601008,low,positive
70736000,106325008,low,positive
70736000,2073,low,positive
70736000,418019003,low,positive
21794005,3723001,low,positive
21794005,106325008,low,positive
21794005,2073,medium,positive
21794005,866041003,medium,positive
157271002,418019003,medium,positive
157271002,125604000,high,positive
157271002,106325008,low,positive
68142008,418019003,medium,positive
68142008,127278005,high,positive
284062002,282771003,high,positive
284062002,418019003,medium,positive
84017003,418019003,medium,positive
84017003,2073,medium,positive
360450007,2073,low,positive
360450007,249858009,medium,positive
360450007,418019003,medium,positive
125606003,418019003,medium,positive
125606003,64859006,low,positive
125606003,35984006,low,positive
58150001,418019003,medium,positive
91613004,106325008,high,positive
91613004,418019003,high,positive
417558002,125596004,very_high,positive
417558002,418019003,medium,positive
157176002,125593007,high,positive
157176002,418019003,medium,positive
125668004,125593007,high,positive
125668004,418019003,medium,positive
71620000,64859006,low,positive
71620000,418019003,medium,positive
71620000,7523003,high,positive
69787006,418019003,medium,positive
69787006,52011008,high,positive
827108008,52011008,high,positive
827108008,106325008,low,positive
827108008,418019003,medium,positive
18171007,418019003,medium,positive
18171007,52011008,high,positive
15574005,106325008,low,positive
15574005,418019003,medium,positive
15574005,125604000,high,positive
15574005,64859006,low,positive
74814004,125604000,high,positive
74814004,418019003,medium,positive
309246000,125604000,low,positive
309246000,106325008,low,positive
309246000,414916001,rare,positive
65966004,418019003,medium,positive
65966004,64859006,low,positive
39812007,418019003,medium,positive
39812007,125599006,high,positive
20511007,64859006,low,positive
20511007,125599006,high,positive
20511007,418019003,medium,positive
20511007,106325008,low,positive
22193007,125599006,low,positive
22193007,106325008,low,positive
44801007,125600009,high,positive
44801007,418019003,medium,positive
157265008,418019003,medium,positive
157265008,125600009,high,positive
157265008,106325008,low,positive
239872002,106325008,low,positive
239872002,414916001,rare,positive
239872002,125600009,low,positive
66308002,64859006,low,positive
66308002,418019003,high,positive
396234004,112698002,medium,positive
396234004,400044004,low,positive
396234004,370388006,low,positive
247389006,282770002,low,positive
247389006,4740000,zero,positive
111243002,239873007,medium,positive
111243002,414916001,low,positive
111243002,106325008,medium,positive
111243002,5887,high,positive
157266009,414916001,low,positive
157266009,125601008,high,positive
11654001,106325008,medium,positive
11654001,414916001,low,positive
429513001,414916001,low,positive
429513001,106325008,medium,positive
429513001,2073,medium,positive
233959009,38341003,medium,positive
233959009,414916001,low,positive
233959009,77176002,medium,positive
233959009,44054006,high,positive
192970008,73589001,medium,positive
192970008,418019003,medium,positive
201112007,2082,medium,positive
201112007,2474,medium,positive
201112007,275320004,medium,positive
400200009,2474,medium,positive
400200009,2082,medium,positive
400200009,275320004,medium,positive
45613006,127279002,high,positive
45613006,418019003,medium,positive
125608002,418019003,medium,positive
125608002,64859006,low,positive
125608002,35984006,low,positive
263172003,125593007,high,positive
263172003,418019003,high,positive
279040009,2073,high,positive
279040009,418019003,low,positive
279040009,73589001,low,positive
279040009,396275006,medium,positive
51037009,125601008,high,positive
51037009,106325008,medium,positive
51037009,64859006,medium,positive
31384009,83901003,low,positive
31384009,55464009,low,positive
31384009,69896004,low,positive
31384009,89155008,low,positive
201637001,418019003,low,positive
201637001,14304000,rare,positive
201637001,69896004,low,positive
201637001,396275006,low,positive
33737001,64859006,low,positive
33737001,106325008,low,positive
33737001,418019003,medium,positive
9682006,106325008,medium,positive
9682006,64859006,low,positive
9682006,125594001,medium,positive
239961006,69896004,low,positive
239961006,2073,medium,positive
239961006,3723001,low,positive
239961006,106325008,medium,positive
239961006,44054006,low,positive
40257000,418019003,medium,positive
40257000,125594001,high,positive
417076003,125594001,high,positive
417076003,418019003,medium,positive
417076003,106325008,low,positive
68859000,414916001,low,positive
68859000,50448004,medium,positive
68859000,249858009,low,positive
263128001,106325008,medium,positive
263128001,442130003,medium,positive
263129009,106325008,medium,positive
263129009,52011008,medium,positive
17883008,106325008,medium,positive
54888009,106325008,medium,positive
54888009,125601008,medium,positive
3199001,125594001,very_high,positive
3199001,106325008,medium,positive
70704007,106325008,medium,positive
70704007,125598003,medium,positive
84416003,418019003,medium,positive
84416003,7523003,high,positive
128210009,418019003,medium,positive
128210009,72535009,high,positive
128210009,106325008,medium,positive
414293001,127279002,high,positive
414293001,418019003,medium,positive
58075000,418019003,medium,positive
58075000,282776008,high,positive
263030002,106325008,low,positive
263030002,282776008,high,positive
21351003,282776008,high,positive
21351003,418019003,medium,positive
20610004,82271004,low,positive
5662003,125599006,high,positive
